ranking,jp_name,eng_name,agency,total_subs,total_views
1,キズナアイ,A.I.Channel, ,"2,720,000","305,438,653"
2,キズナアイ(ゲーム),A.I.Games, ,"1,450,000","150,500,770"
3,輝夜月(かぐやるな),Kaguya Luna Official,VIC,"987,000","101,566,532"
4,ミライアカリ,Mirai Akari Project,元ENTUM,"726,000","66,722,924"
5,電脳少女シロ,Siro Channel,.LIVE,"700,000","108,646,128"
6,白上フブキ,フブキCh。白上フブキ,ホロライブ,"592,000","64,379,976"
7,田中ヒメ 鈴木ヒナ,HIMEHINA Channel, ,"578,000","102,927,332"
8,猫宮ひなた,ひなたチャンネル (Hinata Channel),元ENTUM,"539,000","44,263,160"
9,月ノ美兎,月ノ美兎,にじさんじ(1・2期生),"538,000","80,481,579"
10,湊あくあ,Aqua Ch. 湊あくあ,ホロライブ,"490,000","60,527,509"
11,ヨメミ,ヨメミ -萌実- エトラ チャンネル,エイレーン一家,"443,000","57,279,381"
12,本間ひまわり,本間ひまわり - Himawari Honma -,にじさんじ(ゲーマーズ出身),"442,000","76,886,504"
13,戌神ころね,Korone Ch. 戌神ころね,ホロライブ,"387,000","37,223,715"
14,ホロライブ公式,hololive ホロライブ - VTuber Group,ホロライブ,"375,000","58,497,517"
15,桐生ココ,Coco Ch. 桐生ココ,ホロライブ,"365,000","42,272,264"
16,夏実萌恵,Natsumi Moe - Virtual YouTuber,エイレーン一家,"364,000","30,810,483"
17,笹木咲,笹木咲 / Sasaki Saku,にじさんじ(ゲーマーズ出身),"363,000","41,928,572"
18,御伽原江良(おとぎばらえら),御伽原 江良 / Otogibara Era【にじさんじ】,にじさんじ(統合後),"359,000","36,661,814"
19,兎田ぺこら,Pekora Ch. 兎田ぺこら,ホロライブ,"354,000","36,932,686"
20,宝鐘マリン(ほうしょうまりん),Marine Ch. 宝鐘マリン,ホロライブ,"353,000","34,310,118"
21,夏色まつり,Matsuri Channel 夏色まつり,ホロライブ,"351,000","27,036,949"
22,YuNi,YuNi - virtual singer -,upd8,"343,000","71,696,346"
23,道明寺ここあ,ここあMusic, ,"342,000","84,406,659"
24,ときのそら,SoraCh. ときのそらチャンネル,ホロライブ,"342,000","36,962,828"
25,にじさんじ公式,にじさんじ,にじさんじ(1・2期生),"335,000","67,042,947"
26,鈴原るる,鈴原るる【にじさんじ所属】,にじさんじ(統合後),"326,000","37,986,462"
27,赤井はあと,Haato Channel 赤井はあと,ホロライブ,"324,000","24,703,884"
28,ゲーム部プロジェクト,ゲーム部プロジェクト,Unlimited,"320,000","176,436,590"
29,リゼ・ヘルエスタ,リゼ・ヘルエスタ -Lize Helesta-,にじさんじ(統合後),"313,000","35,620,592"
30,白銀ノエル(しろがねのえる),Noel Ch. 白銀ノエル,ホロライブ,"311,000","15,738,823"
31,葛葉,Kuzuha Channel,にじさんじ(ゲーマーズ出身),"307,000","67,770,009"
32,椎名唯華, ,にじさんじ(ゲーマーズ出身),"307,000","50,559,745"
33,犬山たまき,佃煮のりおちゃんねる【犬山たまき】,のりプロ,"306,000","39,696,399"
34,アンジュ・カトリーナ,アンジュ・カトリーナ - Ange Katrina -,にじさんじ(統合後),"304,000","30,297,563"
35,花譜(かふ),花譜,神椿,"298,000","49,173,251"
36,猫又おかゆ,Okayu Ch. 猫又おかゆ,ホロライブ,"298,000","22,818,087"
37,樋口楓,樋口楓【にじさんじ所属】,にじさんじ(1・2期生),"296,000","32,706,044"
38,夢月ロア(ゆづきろあ),夢月ロア🌖Yuzuki Roa,にじさんじ(統合後),"291,000","25,162,031"
39,緑仙(リューシェン),緑仙channel,にじさんじ(SEEDs出身),"290,000","62,982,868"
40,静凛,Shizuka Rin Official,にじさんじ(1・2期生),"285,000","39,325,545"
41,鈴鹿詩子,鈴鹿詩子 Utako Suzuka,にじさんじ(1・2期生),"282,000","43,409,063"
42,星街すいせい,Suisei Channel,ホロライブ,"280,000","18,098,175"
43,さくらみこ,Miko Ch. さくらみこ,ホロライブ,"278,000","30,052,253"
44,シフィ(シフィ―ル・エシラー),シフィ - Sifir Esirer -,エイレーン一家,"277,000","56,906,674"
45,潤羽るしあ,Rushia Ch. 潤羽るしあ,ホロライブ,"273,000","11,472,307"
46,富士葵(ふじあおい),Aoi ch.,Smarprise,"272,000","61,053,475"
47,アルス・アルマル,アルス・アルマル -ars almal- 【にじさんじ】,にじさんじ(統合後),"269,000","28,167,543"
48,周防パトラ,Patra Channel / 周防パトラ 【ハニスト】,ハニーストラップ,"267,000","51,684,474"
49,戌亥とこ(いぬいとこ),戌亥とこ-Inui Toko-【にじさんじ】,にじさんじ(統合後),"263,000","20,327,182"
50,叶(かなえ),Kanae Channel,にじさんじ(ゲーマーズ出身),"262,000","74,912,486"
51,ハロー キティ,HELLO KITTY / ハローキティ【Sanrio Official】,サンリオ,"256,000","20,863,123"
52,キミノ ミヤ(MIYA KIMINO),Japanese HANJO! TV,upd8,"255,000","6,036,471"
53,天神子兎音(てんじんことね),天神 子兎音 Tenjin Kotone,順位をツイート,"253,000","44,497,330"
54,紫咲シオン,Shion Ch. 紫咲シオン,ホロライブ,"247,000","18,843,753"
55,大空スバル,Subaru Ch. 大空スバル,ホロライブ,"246,000","22,959,539"
56,バーチャルおばあちゃん(VB),バーチャルおばあちゃんねる, ,"245,000","55,943,675"
57,社築(やしろ きずく),社築,にじさんじ(SEEDs出身),"244,000","28,757,781"
58,竜胆尊(りんどうみこと),竜胆 尊 / Rindou Mikoto,にじさんじ(SEEDs出身),"242,000","16,010,217"
59,百鬼あやめ,Nakiri Ayame Ch. 百鬼あやめ,ホロライブ,"241,000","11,960,994"
60,天音かなた(あまねかなた),Kanata Ch. 天音かなた,ホロライブ,"235,000","16,564,874"
61,癒月ちょこ,Choco Ch. 癒月ちょこ,ホロライブ,"234,000","10,817,290"
62,織田信姫, , ,"233,000","30,482,327"
63,ロボ子さん,Roboco Ch. - ロボ子,ホロライブ,"233,000","20,601,124"
64,ベルモンド・バンデラス, ,にじさんじ(SEEDs出身),"232,000","22,664,109"
65,大神ミオ,Mio Channel 大神ミオ,ホロライブ,"232,000","19,400,538"
66,マヤ・プトゥリ,Maya Putri, ,"232,000","11,482,624"
67,角巻わため(つのまきわため),Watame Ch. 角巻わため,ホロライブ,"231,000","18,046,832"
68,おめがレイ おめがリオ,おめがシスターズ [Ω Sisters],upd8,"229,000","55,004,838"
69,郡道美玲(ぐんどうみれい),【3年0組】郡道美玲の教室,にじさんじ(統合後),"228,000","24,017,798"
70,Melody,Projekt Melody, ,"218,000","3,439,814"
71,鷹宮リオン,鷹宮リオン,にじさんじ(SEEDs出身),"216,000","28,347,484"
72,花鋏キョウ,花鋏キョウ/キョウちゃんねる,Re:AcT,"216,000","25,957,005"
73,シスター・クレア,シスター・クレア -SisterClaire-,にじさんじ(SEEDs出身),"215,000","21,938,263"
74,加賀美ハヤト,加賀美 ハヤト/Hayato Kagami,にじさんじ(統合後),"207,000","22,909,560"
75,黛灰(まゆずみかい),黛 灰 / Kai Mayuzumi【にじさんじ】,にじさんじ(統合後),"202,000","23,453,618"
76,でびでび・でびる,でびでび・でびる,にじさんじ(SEEDs出身),"202,000","18,275,689"
77,しぐれうい, ,順位をツイート,"202,000","6,699,811"
78,馬犬,BKNChannel,転生組,"200,000","2,294,111"
79,勇気ちひろ,勇気ちひろ,にじさんじ(1・2期生),"198,000","22,822,362"
80,ドーラ, ,にじさんじ(SEEDs出身),"197,000","17,686,447"
81,名取さな,さなちゃんねる, ,"197,000","14,415,612"
82,星川サラ,星川サラ,にじさんじ(統合後),"196,000","12,963,571"
83,バーチャル番組連盟,バーチャル番組チャンネル, ,"195,000","15,148,919"
84,ガッチマンV, , ,"193,000","2,975,388"
85,エクス・アルビオ,エクス・アルビオ -Ex Albio-,にじさんじ(統合後),"191,000","25,797,450"
86,ヤミクモケリン,ケリン,upd8,"188,000","22,841,587"
87,杏仁ミル, ,YahooTV,"188,000","6,823,807"
88,アズマ リム(アズリム),Azuma Lim Channel -アズマ リム-, ,"186,000","10,345,762"
89,夜見れな(よるみれな),夜見れな/yorumi rena【にじさんじ所属】,にじさんじ(統合後),"185,000","20,318,772"
90,健屋花那(すこやかな),健屋花那【にじさんじ】KanaSukoya,にじさんじ(統合後),"184,000","9,175,497"
91,鳩羽つぐ,鳩羽つぐ, ,"184,000","8,533,066"
92,ピンキーポップヘップバーン,Pinky Pop Hepburn Official,VIC,"184,000","8,050,048"
93,童田明治(わらべだめいじー),童田明治-わらべだめいじー-,にじさんじ(統合後),"183,000","15,111,186"
94,物述有栖,♥️♠️物述有栖♦️♣️,にじさんじ(1・2期生),"178,000","12,792,015"
95,ジョー・力一(じょーりきいち),ジョー・力一 Joe Rikiichi,にじさんじ(SEEDs出身),"177,000","16,312,167"
96,舞元啓介, ,にじさんじ(SEEDs出身),"176,000","21,917,128"
97,花畑チャイカ,花畑チャイカ,にじさんじ(SEEDs出身),"171,000","20,599,550"
98,夢追翔,夢追翔のJUKE BOX,にじさんじ(SEEDs出身),"169,000","21,982,988"
99,剣持刀也,剣持刀也,にじさんじ(1・2期生),"168,000","25,238,537"
100,森中花咲,森中花咲,にじさんじ(1・2期生),"168,000","21,717,709"
101,獅子神レオナ,獅子神レオナ/レオナちゃんねる,Re:AcT,"164,000","29,771,820"
102,神楽めあ,神楽めあ / KaguraMea,ぱりぷろ,"163,000","9,291,543"
103,ニュイ・ソシエール,ニュイ・ソシエール //[Nui Sociere],にじさんじ(統合後),"161,000","16,875,654"
104,三枝明那(さえぐさあきな),三枝明那 / Akina Saegusa,にじさんじ(統合後),"159,000","13,243,688"
105,因幡はねる,Haneru Channel / 因幡はねる 【あにまーれ】,あにまーれ,"156,000","25,557,986"
